x,y,width,height,attempt,log_attempt,made,miss,made2,made3,miss2,miss3
58,29,1,1,6,0.7781512503836436,2,4,0,2,0,4
59,29,1,1,5,0.6989700043360189,1,4,0,1,0,4
60,29,1,1,3,0.47712125471966244,0,3,0,0,0,3
62,29,1,1,2,0.3010299956639812,1,1,0,1,0,1
63,29,1,1,3,0.47712125471966244,0,3,0,0,0,3
64,29,1,1,2,0.3010299956639812,1,1,0,1,0,1
66,29,1,1,1,0.0,0,1,0,0,0,1
67,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
68,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
69,29,1,1,1,0.0,0,1,0,0,0,1
70,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
71,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
72,29,1,1,1,0.0,1,0,0,1,0,0
73,29,1,1,1,0.0,1,0,0,1,0,0
75,29,1,1,3,0.47712125471966244,1,2,0,1,0,2
76,29,1,1,1,0.0,0,1,0,0,0,1
78,29,1,1,2,0.3010299956639812,1,1,0,1,0,1
80,29,1,1,1,0.0,0,1,0,0,0,1
81,29,1,1,4,0.6020599913279624,1,3,0,1,0,3
82,29,1,1,1,0.0,0,1,0,0,0,1
84,29,1,1,1,0.0,1,0,0,1,0,0
86,29,1,1,1,0.0,1,0,0,1,0,0
87,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
91,29,1,1,1,0.0,0,1,0,0,0,1
13,30,1,1,2,0.3010299956639812,0,2,0,0,0,2
24,30,1,1,1,0.0,1,0,0,1,0,0
27,30,1,1,1,0.0,0,1,0,0,0,1
28,30,1,1,2,0.3010299956639812,1,1,0,1,0,1
29,30,1,1,1,0.0,0,1,0,0,0,1
30,30,1,1,2,0.3010299956639812,0,2,0,0,0,2
31,30,1,1,1,0.0,0,1,0,0,0,1
37,30,1,1,1,0.0,1,0,0,1,0,0
38,30,1,1,2,0.3010299956639812,0,2,0,0,0,2
39,30,1,1,5,0.6989700043360189,3,2,0,3,0,2
40,30,1,1,5,0.6989700043360189,1,4,0,1,0,4
41,30,1,1,5,0.6989700043360189,0,5,0,0,0,5
42,30,1,1,5,0.6989700043360189,2,3,0,2,0,3
43,30,1,1,4,0.6020599913279624,2,2,0,2,0,2
44,30,1,1,4,0.6020599913279624,0,4,0,0,0,4
45,30,1,1,6,0.7781512503836436,0,6,0,0,0,6
46,30,1,1,4,0.6020599913279624,2,2,0,2,0,2
47,30,1,1,8,0.9030899869919435,1,7,0,1,0,7
48,30,1,1,6,0.7781512503836436,1,5,0,1,0,5
49,30,1,1,15,1.1760912590556813,6,9,0,6,0,9
50,30,1,1,15,1.1760912590556813,4,11,0,4,0,11
51,30,1,1,22,1.3424226808222062,8,14,0,8,0,14
52,30,1,1,24,1.380211241711606,8,16,0,8,0,16
53,30,1,1,18,1.255272505103306,7,11,0,7,0,11
54,30,1,1,14,1.146128035678238,4,10,0,4,0,10
55,30,1,1,9,0.9542425094393249,3,6,0,3,0,6
56,30,1,1,8,0.9030899869919435,2,6,0,2,0,6
57,30,1,1,4,0.6020599913279624,1,3,0,1,0,3
58,30,1,1,4,0.6020599913279624,0,4,0,0,0,4
59,30,1,1,8,0.9030899869919435,4,4,0,4,0,4
60,30,1,1,10,1.0,3,7,0,3,0,7
61,30,1,1,6,0.7781512503836436,0,6,0,0,0,6
62,30,1,1,4,0.6020599913279624,1,3,0,1,0,3
63,30,1,1,2,0.3010299956639812,0,2,0,0,0,2
64,30,1,1,5,0.6989700043360189,2,3,0,2,0,3
65,30,1,1,4,0.6020599913279624,2,2,0,2,0,2
66,30,1,1,1,0.0,1,0,0,1,0,0
67,30,1,1,2,0.3010299956639812,1,1,0,1,0,1
68,30,1,1,4,0.6020599913279624,1,3,0,1,0,3
69,30,1,1,6,0.7781512503836436,1,5,0,1,0,5
70,30,1,1,6,0.7781512503836436,3,3,0,3,0,3
71,30,1,1,1,0.0,1,0,0,1,0,0
72,30,1,1,4,0.6020599913279624,0,4,0,0,0,4
73,30,1,1,3,0.47712125471966244,0,3,0,0,0,3
74,30,1,1,2,0.3010299956639812,1,1,0,1,0,1
75,30,1,1,1,0.0,0,1,0,0,0,1
76,30,1,1,3,0.47712125471966244,0,3,0,0,0,3
77,30,1,1,1,0.0,0,1,0,0,0,1
79,30,1,1,1,0.0,0,1,0,0,0,1
82,30,1,1,2,0.3010299956639812,0,2,0,0,0,2
84,30,1,1,1,0.0,1,0,0,1,0,0
86,30,1,1,3,0.47712125471966244,1,2,0,1,0,2
90,30,1,1,2,0.3010299956639812,0,2,0,0,0,2
21,31,1,1,1,0.0,1,0,0,1,0,0
24,31,1,1,1,0.0,0,1,0,0,0,1
29,31,1,1,1,0.0,0,1,0,0,0,1
31,31,1,1,3,0.47712125471966244,1,2,0,1,0,2
32,31,1,1,2,0.3010299956639812,1,1,0,1,0,1
34,31,1,1,3,0.47712125471966244,0,3,0,0,0,3
35,31,1,1,3,0.47712125471966244,0,3,0,0,0,3
36,31,1,1,4,0.6020599913279624,0,4,0,0,0,4
37,31,1,1,2,0.3010299956639812,0,2,0,0,0,2
38,31,1,1,1,0.0,0,1,0,0,0,1
40,31,1,1,5,0.6989700043360189,1,4,0,1,0,4
41,31,1,1,3,0.47712125471966244,0,3,0,0,0,3
42,31,1,1,1,0.0,0,1,0,0,0,1
43,31,1,1,6,0.7781512503836436,2,4,0,2,0,4
44,31,1,1,2,0.3010299956639812,0,2,0,0,0,2
45,31,1,1,8,0.9030899869919435,1,7,0,1,0,7
46,31,1,1,3,0.47712125471966244,2,1,0,2,0,1
47,31,1,1,8,0.9030899869919435,1,7,0,1,0,7
48,31,1,1,10,1.0,6,4,0,6,0,4
49,31,1,1,12,1.0791812460476249,5,7,0,5,0,7
50,31,1,1,13,1.1139433523068367,3,10,0,3,0,10
51,31,1,1,20,1.3010299956639813,5,15,0,5,0,15
52,31,1,1,11,1.0413926851582251,5,6,0,5,0,6
53,31,1,1,11,1.0413926851582251,1,10,0,1,0,10
54,31,1,1,19,1.2787536009528289,9,10,0,9,0,10
55,31,1,1,15,1.1760912590556813,9,6,0,9,0,6
56,31,1,1,11,1.0413926851582251,3,8,0,3,0,8
57,31,1,1,8,0.9030899869919435,2,6,0,2,0,6
58,31,1,1,4,0.6020599913279624,0,4,0,0,0,4
59,31,1,1,6,0.7781512503836436,3,3,0,3,0,3
60,31,1,1,7,0.8450980400142568,3,4,0,3,0,4
61,31,1,1,7,0.8450980400142568,1,6,0,1,0,6
62,31,1,1,8,0.9030899869919435,3,5,0,3,0,5
63,31,1,1,9,0.9542425094393249,5,4,0,5,0,4
64,31,1,1,7,0.8450980400142568,1,6,0,1,0,6
65,31,1,1,6,0.7781512503836436,2,4,0,2,0,4
66,31,1,1,6,0.7781512503836436,2,4,0,2,0,4
68,31,1,1,2,0.3010299956639812,1,1,0,1,0,1
69,31,1,1,2,0.3010299956639812,1,1,0,1,0,1
70,31,1,1,6,0.7781512503836436,2,4,0,2,0,4
71,31,1,1,3,0.47712125471966244,1,2,0,1,0,2
72,31,1,1,4,0.6020599913279624,0,4,0,0,0,4
73,31,1,1,2,0.3010299956639812,0,2,0,0,0,2
74,31,1,1,1,0.0,0,1,0,0,0,1
75,31,1,1,2,0.3010299956639812,1,1,0,1,0,1
76,31,1,1,3,0.47712125471966244,0,3,0,0,0,3
77,31,1,1,3,0.47712125471966244,1,2,0,1,0,2
78,31,1,1,2,0.3010299956639812,0,2,0,0,0,2
80,31,1,1,1,0.0,0,1,0,0,0,1
81,31,1,1,4,0.6020599913279624,0,4,0,0,0,4
82,31,1,1,1,0.0,0,1,0,0,0,1
84,31,1,1,1,0.0,0,1,0,0,0,1
88,31,1,1,1,0.0,0,1,0,0,0,1
89,31,1,1,1,0.0,1,0,0,1,0,0
92,31,1,1,1,0.0,0,1,0,0,0,1
13,32,1,1,1,0.0,1,0,0,1,0,0
18,32,1,1,1,0.0,0,1,0,0,0,1
